29,0,10.7,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.00,0.00
30,0,10.7,623,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
31,0,10.7,623,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
32,0,10.7,623,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.00,0.00
33,0,10.7,623,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.00,0.00
34,0,10.7,623,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1526,15.23,-0.14,-0.00,0.00
35,0,10.7,624,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.08,-0.00,0.00
36,0,10.7,624,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.08,-0.00,0.00
37,0,10.7,624,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.05,0.00
38,0,10.7,624,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.05,0.00
39,0,10.7,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
40,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
41,0,10.7,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
42,0,10.7,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.03,0.00
43,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.00,0.00
44,0,10.7,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.08,-0.00,0.00
45,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.08,-0.00,0.00
46,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.00,0.00
47,0,10.7,627,0,-3.2,0.000,0.000,0,0.000,0,0.18,1,1525,15.23,-0.14,-0.03,0.00
48,0,10.7,627,0,-3.1,0.000,0.000,0,0.000,0,0.18,1,1525,15.23,-0.14,-0.03,0.00
49,0,10.7,627,0,-3.1,0.000,0.000,0,0.000,0,0.25,1,1525,15.23,-0.10,-0.00,0.00
50,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.25,1,1525,15.23,-0.10,-0.00,0.00
51,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.00,0.00
52,0,10.7,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.00,0.00
53,0,10.7,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.00,0.00
54,0,10.7,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.06,-0.00,0.00
55,0,10.7,628,0,-3.2,0.000,0.000,0,0.000,0,0.25,1,1525,15.23,-0.08,-0.00,0.00
56,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.18,1,1525,15.23,-0.14,-0.03,0.00
57,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.18,1,1525,15.23,-0.14,-0.03,0.00
58,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
59,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
60,0,10.7,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
61,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.03,0.00
62,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.03,0.00
63,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
64,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
65,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.00,0.00
66,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.00,0.00
67,0,10.9,625,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.03,0.00
68,0,10.7,625,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
69,0,10.9,625,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
70,0,10.9,625,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.00,0.00
71,0,10.9,625,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.02,0.00
72,0,10.9,625,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.00,0.00
73,0,10.9,625,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.06,-0.00,0.00
74,0,10.9,625,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
75,0,10.9,625,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.02,0.00
76,0,10.9,625,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.02,0.00
77,0,10.7,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
78,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
79,0,10.7,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
80,0,10.7,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
81,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1526,15.23,-0.13,-0.05,0.00
82,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1526,15.23,-0.10,-0.00,0.00
83,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.08,-0.00,0.00
84,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.02,0.00
85,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.05,0.00
86,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.03,0.00
87,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
88,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
89,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.00,0.00
90,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.00,0.00
91,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.18,1,1526,15.23,-0.11,-0.00,0.00
92,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.18,1,1525,15.23,-0.11,-0.00,0.00
93,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
94,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
95,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.05,0.00
96,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.00,0.00
97,0,10.9,624,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.08,-0.00,0.00
98,0,10.9,624,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
99,0,10.9,624,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.00,0.00
100,0,10.9,624,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.02,0.00
101,0,10.9,624,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.02,0.00
102,0,10.9,624,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
103,0,10.9,624,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.02,0.00
104,0,10.9,624,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.02,0.00
105,0,10.9,624,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.03,0.00
106,0,10.9,624,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.03,0.00
107,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
108,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
109,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.00,0.00
110,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.00,0.00
111,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
112,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
113,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.00,0.00
114,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.02,0.00
115,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.02,0.00
116,0,10.9,629,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
117,0,10.9,629,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
118,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
119,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.05,0.00
120,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.05,0.00
121,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
122,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.08,-0.00,0.00
123,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.25,1,1525,15.23,-0.13,-0.02,0.00
124,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.05,0.00
125,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
126,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
127,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.25,1,1525,14.84,-0.10,-0.00,0.00
128,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.25,1,1525,14.84,-0.14,-0.00,0.00
129,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.25,1,1525,14.84,-0.14,-0.00,0.00
130,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
131,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
132,0,10.9,629,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
133,0,10.9,629,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1526,14.84,-0.14,-0.02,0.00
134,0,10.9,629,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.02,0.00
135,0,10.9,629,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
136,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
137,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.00,0.00
138,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.00,0.00
139,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.02,0.00
140,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.18,1,1525,14.84,-0.10,-0.00,0.00
141,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.25,1,1525,14.84,-0.10,-0.00,0.00
142,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.05,0.00
143,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.05,0.00
144,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.11,-0.00,0.00
145,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.00,0.00
146,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.00,0.00
147,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.02,0.00
148,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.02,0.00
149,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
150,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
151,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
152,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
153,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.25,1,1525,15.23,-0.13,-0.02,0.00
154,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.08,-0.00,0.00
155,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.08,-0.00,0.00
156,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.00,0.00
157,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.00,0.00
158,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.02,0.00
159,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.02,0.00
160,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
161,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.02,0.00
162,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.02,0.00
163,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
164,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
165,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.11,-0.00,0.00
166,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.00,0.00
167,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.05,0.00
168,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
169,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
170,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.10,-0.00,0.00
171,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.03,0.00
172,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.05,0.00
173,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.05,0.00
174,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.13,-0.00,0.00
175,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.00,0.00
176,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.00,0.00
177,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.03,0.00
178,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.03,0.00
179,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
180,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
181,0,10.9,628,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.02,0.00
182,0,10.9,628,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.11,-0.00,0.00
183,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
184,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.11,-0.00,0.00
185,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.11,-0.00,0.00
186,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.03,0.00
187,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.03,0.00
188,0,10.9,624,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.00,0.00
189,0,10.9,624,0,-3.2,0.000,0.000,0,0.000,0,0.25,1,1525,15.23,-0.10,-0.00,0.00
190,0,10.9,624,0,-3.1,0.000,0.000,0,0.000,0,0.25,1,1525,15.23,-0.10,-0.00,0.00
191,0,10.9,624,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1526,15.23,-0.14,-0.03,0.00
192,0,10.9,624,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.03,0.00
193,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.08,-0.00,0.00
194,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
195,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.03,0.00
196,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.03,0.00
197,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.03,0.00
198,0,11.2,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.06,-0.00,0.00
199,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.02,0.00
200,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.03,0.00
201,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.03,0.00
202,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.02,0.00
203,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
204,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
205,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.02,0.00
206,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.02,0.00
207,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
208,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
209,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
210,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.25,1,1525,14.84,-0.14,-0.05,0.00
211,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.25,1,1525,14.84,-0.14,-0.05,0.00
212,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
213,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
214,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.25,1,1525,14.84,-0.14,-0.00,0.00
215,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.00,0.00
216,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.03,0.00
217,0,10.9,625,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
218,0,10.9,625,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1526,15.23,-0.10,-0.00,0.00
219,0,10.7,625,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1526,15.23,-0.14,-0.05,0.00
220,0,10.9,625,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.14,-0.05,0.00
221,0,10.9,625,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.00,0.00
222,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,15.23,-0.11,-0.00,0.00
223,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.10,-0.00,0.00
224,0,10.9,626,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.02,0.00
225,0,10.9,626,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.02,0.00
226,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
227,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
228,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.02,0.00
229,0,10.9,627,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.02,0.00
230,0,10.9,627,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.14,-0.02,0.00
231,0,10.9,629,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
232,0,11.2,629,0,-3.1,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.08,-0.00,0.00
233,0,10.9,629,0,-3.2,0.000,0.000,0,0.000,0,0.31,1,1525,14.84,-0.13,-0.00,0.00
